IdPregunta	CodigoPregunta	Pregunta	R1	R2	R3	R4	RespuestaCorrecta	JustificacionTexto	IdOrigen	IdTema	IdSubtema	ModificadoOrigen	FechaActualización	Revisión	IdPara	IdCCAADestino	IdCCAAOrigen
62325	001-24034-MUESTRASCITO-210308	Esta definición, “estudia las alteraciones morfológicas de las células desprendidas libremente de los epitelios de revestimiento o extraídas de distintas zonas del cuerpo humano” se corresponde con:	(A) La histopatología.	(B) Estudios necrópsicos.	(C) Citopatología.	(A) y (B) son correctas.	C	La citopatología es la rama de la anatomía que estudia las alteraciones morfológicas de las células desprendidas libremente de los epitelios de revestimiento o extraídas de distintas zonas del cuerpo humano.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62326	002-24034-MUESTRASCITO-210308	Entre los objetivos de la citopatología están:	(A) Diagnóstico y tipificación de neoplasias malignas, evaluación de las alteraciones de la morfología del núcleo, del citoplasma y de las relaciones entre las células.	(B) Cribado de pacientes de grupos de alto riesgo.	(A) y (B) son correctas.	(C) No se utiliza para diagnóstico de lesiones benignas. Por ej: tumores benignos, hiperplasias, ciertas infecciones virales o micóticas.	C	Los objetivos de la citopatología son: el iagnóstico y tipificación de neoplasias malignas, evaluación de las alteraciones de la morfología del núcleo, del citoplasma y de las relaciones entre las células, este es el objetivo principal, se utiliza para el cribado de pacientes de grupos de alto riesgo.  Y también el diagnóstico de lesiones benignas, por ejemplo, tumores benignos, hiperplasias, ciertas infecciones virales o micóticas.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62327	003-24034-MUESTRASCITO-210308	Los estudios citológicos los debemos entender como:	Método de diagnóstico de células sueltas.	Método de diagnóstico que nos aporta información topográfica de la lesión.	Los resultados no se confirman con biopsia.	Todas las respuestas son correctas.	A	La citopatología se debe entender como un método de diagnóstico de células descamadas de los epitelios donde los resultados se confirman en la biopsia.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62328	004-24034-MUESTRASCITO-210308	Señale la respuesta incorrecta con respecto a las muestras citológicas:	El diagnóstico se basa en las características de células independientes.	No aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión.	Las técnicas inmunohistoquímicas no se pueden realizar sobre este material, solo protocolizadas para tejidos fijados en formol y procesados en parafina.	Un diagnóstico negativo no descarta la presencia de tumor maligno.	C	Las limitaciones de la citología son: el diagnóstico se basa en las características de células independientes, no aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión. Para realizar las técnicas inmunohistoquímicas más dificultades porque están protocolizadas para tejidos fijados en formol y procesados en parafina. Si se da un diagnóstico negativo no descarta la presencia de tumor maligno.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA
62328	004-24034-MUESTRASCITO-210308	Señale la respuesta incorrecta con respecto a las muestras citológicas:	El diagnóstico se basa en las características de células independientes.	No aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión.	Las técnicas inmunohistoquímicas no se pueden realizar sobre este material, solo protocolizadas para tejidos fijados en formol y procesados en parafina.	Un diagnóstico negativo no descarta la presencia de tumor maligno.	C	Las limitaciones de la citología son: el diagnóstico se basa en las características de células independientes, no aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión. Para realizar las técnicas inmunohistoquímicas más dificultades porque están protocolizadas para tejidos fijados en formol y procesados en parafina. Si se da un diagnóstico negativo no descarta la presencia de tumor maligno.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA
62328	004-24034-MUESTRASCITO-210308	Señale la respuesta incorrecta con respecto a las muestras citológicas:	El diagnóstico se basa en las características de células independientes.	No aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión.	Las técnicas inmunohistoquímicas no se pueden realizar sobre este material, solo protocolizadas para tejidos fijados en formol y procesados en parafina.	Un diagnóstico negativo no descarta la presencia de tumor maligno.	C	Las limitaciones de la citología son: el diagnóstico se basa en las características de células independientes, no aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión. Para realizar las técnicas inmunohistoquímicas más dificultades porque están protocolizadas para tejidos fijados en formol y procesados en parafina. Si se da un diagnóstico negativo no descarta la presencia de tumor maligno.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA
62328	004-24034-MUESTRASCITO-210308	Señale la respuesta incorrecta con respecto a las muestras citológicas:	El diagnóstico se basa en las características de células independientes.	No aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión.	Las técnicas inmunohistoquímicas no se pueden realizar sobre este material, solo protocolizadas para tejidos fijados en formol y procesados en parafina.	Un diagnóstico negativo no descarta la presencia de tumor maligno.	C	Las limitaciones de la citología son: el diagnóstico se basa en las características de células independientes, no aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión. Para realizar las técnicas inmunohistoquímicas más dificultades porque están protocolizadas para tejidos fijados en formol y procesados en parafina. Si se da un diagnóstico negativo no descarta la presencia de tumor maligno.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62329	005-24034-MUESTRASCITO-210308	La citología exfoliativa se obtiene por:	Exfoliación forzada: frotación o raspado (muestras ginecológicas, citologías de la piel).	Líquidos que transportan las células descamadas (esputo, orina).	Instrumentos de exploración o punción (PAAF, cepillados del árbol respiratorio o del aparato digestivo, líquidos de cavidades serosas).	Todas las respuestas son correctas.	D	La citología exfoliativa consiste en células descamadas de un órgano en comunicación con el exterior o fácilmente accesible. Puede obtenerse mediante: Exfoliación forzada: frotación o raspado (muestras ginecológicas, citologías de la piel), Líquidos que transportan las células descamadas (esputo, orina) e Instrumentos de exploración o punción (PAAF, cepillados del árbol respiratorio o del aparato digestivo, líquidos de cavidades serosas).	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62330	006-24034-MUESTRASCITO-210308	En citología exfoliativa podemos obtener material de diferentes territorios. ¿Cuál de ellos es incorrecto?:	Aparato endocrino.	Piel.	Cavidades orgánicas.	Todas las respuestas son incorrectas.	D	Territorios orgánicos para el estudio de citología exfoliativa: Aparato genital femenino, Aparato urinario, Aparato respiratorio, Aparato digestivo, Aparato endocrino, Piel, Cavidades orgánicas.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62331	007-24034-MUESTRASCITO-210308	El nuevo cribado poblacional de cáncer de cérvix o de cuello uterino, se crea en:	2015.	2019.	2020.	2000.	B	Desde el 1 de julio de 2019 está implantado en España el cribado poblacional de cáncer de cérvix o de cuello uterino, aprobado por Consejo de Ministros en abril de 2019.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62332	008-24034-MUESTRASCITO-210308	Desde el 1 de julio de 2019 está implantado en España el cribado poblacional de cáncer de cérvix o de cuello uterino, aprobado por Consejo de Ministros en abril de 2019, consiste:	A las mujeres de entre 25 y 34 años se les realiza una citología cada 3 años.	En aquellas mujeres de 35 a 65 se determinará primero si son portadoras del virus del papiloma humano, considerado el principal agente causal de esta neoplasia.	(A) y (B) son correctas.	(A) y (B) son incorrectas.	C	Desde el 1 de julio de 2019 está implantado en España el cribado poblacional de cáncer de cérvix o de cuello uterino, aprobado por Consejo de Ministros en abril de 2019, consiste en las mujeres de entre 25 y 34 años se les realiza una citología cada 3 años mientras que en aquellas de 35 a 65 se determinará primero si son portadoras del virus del papiloma humano, considerado el principal agente causal de esta neoplasia	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62333	009-24034-MUESTRASCITO-210308	Según el cribado poblacional de cáncer de cérvix o de cuello uterino, aprobado por Consejo de Ministros en abril de 2019, a aquellas mujeres de 35 a 65 se determinará primero si son portadoras del virus del papiloma humano, en este caso (señale la respuesta incorrecta):	(A) En caso de resultado negativo, la prueba se repetirá cada 5 años.	(B) Si la prueba al virus es positiva, las pacientes pasarán a ser sometidas a citologías regularmente.	(C) Se les realiza una citología cada 3 años a todas.	(A) y (B) son correctas.	C	Según el cribado poblacional de cáncer de cérvix o de cuello uterino, aprobado por Consejo de Ministros en abril de 2019, a aquellas mujeres de 35 a 65 se determinará primero si son portadoras del virus del papiloma humano, y en caso de resultado negativo, la prueba se repetirá cada 5 años. Si la prueba al virus es positiva, las pacientes pasarán a ser sometidas a citologías regularmente.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62334	010-24034-MUESTRASCITO-210308	La doble toma de citología exfoliativa en medio liquido se realiza con:	(A) SurePath.	(B) ThinPrep.	(A) y (B) son correctas.	(C) Mediante la toma de WIED.	C	Las citologías en medio líquido se reciben en un envase comercial (SurePath, ThinPrep) que contiene como líquido fijador una mezcla alcohólica que permite conservar la muestra en óptimas condiciones hasta 6 meses.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62335	011-24034-MUESTRASCITO-210308	La citología en medio líquido se recibe en un líquido fijador con base alcohólica que permite conservar la muestra:	24 horas.	Una semana.	6 meses.	1 año.	C	Las citologías en medio líquido se reciben en un envase comercial (SurePath, ThinPrep) que contiene como líquido fijador una mezcla alcohólica que permite conservar la muestra en óptimas condiciones hasta 6 meses.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62336	012-24034-MUESTRASCITO-210308	En la citología exfoliativa ginecológica toma de cúpula o cicatriz de colposcopia se realiza por:	Raspado de la zona cicatricial.	Impronta.	Paaf.	Todas las respuestas son correctas.	A	La toma única de cúpula o cicatriz de colposcopia se realiza por raspado de la zona cicatricial mediante espátula de Ayre o cepillo de toma líquida	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62337	013-24034-MUESTRASCITO-210308	La toma vaginal para realizar un estudio citológico se toma de:	Zona vulvar.	Del exocérvix.	Del fondo de la vagina.	Del endometrio.	A	La citología exfoliativa toma vulvar se recoge raspando mediante cepillo la zona vulvar	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62338	014-24034-MUESTRASCITO-210308	Los lavados vesicales se obtienen por:	Cateterización vesical.	Micción espontánea.	Irrigando la vejiga con solución salina o solución fijadora con una sonda.	Paaf.	C	Los lavados vesicales se obtienen irrigando la vejiga con solución salina o solución fijadora con una sonda	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62339	015-24034-MUESTRASCITO-210308	El estudio de secreciones nasales tiene como finalidad diagnóstica:	Descartar una patología tumoral de las vías respiratorias altas.	El estudio de enfermedades displásicas.	El estudio de alergias.	Todas las repuestas son incorrectas.	C	El estudio del moco nasal se obtiene por la recogida de la secreción nasal, se envía en fresco, sin prefijar. Se realizan extensiones y se tiñen rutinariamente con Papanicolaou y MayGrunwald-Giemsa. Su utilidad diagnóstica suele limitarse a las alergias.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62340	016-24034-MUESTRASCITO-210308	Para poder procesar un esputo por citología líquida primero debemos:	Centrifugar la muestra.	Realizar un extendido.	Eliminar el moco con DDT.	Realizar aspirados del moco.	C	Del moco se pueden realizar extensiones o procesar como citología en medio líquido. Para ello primero se trata de eliminar el moco con DTT para posteriormente centrifugar la muestra y fijarla con los fijadores comerciales propios de la técnica.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62341	017-24034-MUESTRASCITO-210308	Completa la frase: La celularidad obtenida con el ______ es superior a la obtenida con el ______:	BAS/BAL.	BAL/BAS.	Cepillado bronquial/BAS.	BAS/cepillado bronquial.	B	La celularidad obtenida con el BAL es superior a la obtenida con el BAS	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62342	018-24034-MUESTRASCITO-210308	El cepillado bronquial se obtiene:	Ecobroncoscopia.	Raspado directo de la lesión con un cepillo mediante broncoscopia.	Secreción.	Aspirado.	B	El cepillado bronquial se obtiene raspado directo de la lesión con un cepillo mediante broncoscopia	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62343	019-24034-MUESTRASCITO-210308	Señale la respuesta correcta:	En citología se realizan intraoperatorias.	Las intraoperatorias son exclusivas de las biopsias.	Las extensiones destinas a realizar una intraoperatoria en citología se fijan en alcohol de 96º y se tiñen con Papanicolaou.	Las extensiones destinas a realizar una intraoperatoria en citología se fijan en alcohol de 96º y se tiñen con Diff-Quick.	A	En citología se realizan introperatorias para saber si el material que se extrae mediante PAAF sea suficiente y adecuado, por ejemplo, que proceda de ganglio y no se trate simplemente de grasa) Se tiñen con la tinción Diff-Quick y son observadas por el patólogo in situ	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62344	020-24034-MUESTRASCITO-210308	Un EBUS se utiliza para:	(A) Procedimiento de diagnóstico.	(B) Un procedimiento de estadiaje.	(A) y (B) son correctas.	(A) y (B) son incorrectas.	C	El EBUS se utiliza como diagnóstico o estadiaje en pacientes con tumores de pulmón, lesiones mediastínicas o ganglios linfáticos extendidos en/o cerca del mediastino. 	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62345	021-24034-MUESTRASCITO-210308	Si queremos tomar una muestra citológica del aparato digestivo lo podemos hacer:	Lavado.	Abrasión.	Cepillado.	Todas las respuestas son correctas.	D	Las tomas de muestras de citología del aparato digestivo pueden realizarse por lavado mediante sondas y aspiración, por abrasión de la zona mediante un globo rugoso realizándose extensiones del material, por cepillado método de elección para patología digestiva por proporcionar una visión directa de la lesión y mediante líquido peritoneal.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62346	022-24034-MUESTRASCITO-210308	Test de Tzank:	Se utiliza para realizar citología de piel.	Estudio limitado al diagnóstico de enfermedades de etiología viral.	Las muestras de la piel llegan en forma de extensiones.	Todas las repuestas son correctas.	D	“Test de Tzank” se utiliza para el estudio de la citología de piel. Consiste en un raspado de la piel. Este tipo de estudio limitado al diagnóstico de enfermedades de etiología viral. Las muestras llegan en forma de extensiones y su procesado no difiere de los cepillados o punciones.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62347	023-24034-MUESTRASCITO-210308	Los territorios orgánicos que con mayor frecuencia se estudian mediante citología exfoliativa son:	Piel.	Aparato digestivo.	Peritoneo.	Todas las respuestas son correctas.	D	Los territorios orgánicos que con mayor frecuencia se estudian mediante citología exfoliativa son aparato genital femenino, árbol respiratorio, aparato digestivo, vías urinarias y próstata, piel, cavidades orgánicas como peritoneo, pleura, pericardio, raquídea y articular.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62348	024-24034-MUESTRASCITO-210308	Las muestras citológicas que llegan extendidas al servicio de Anatomía son (señale la respuesta incorrecta):	Bas.	Citología ginecológica.	Cepillado.	Ninguna es incorrecta.	A	En general, las citologías ginecológicas y las muestras obtenidas por cepillado se envían extendidas. Las restantes muestras suelen llegar en forma de suspensiones celulares más o menos densas.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62349	025-24034-MUESTRASCITO-210308	La realización de las extensiones para citopatología ginecológica (doble toma) las realiza:	El técnico en el servicio de Anatomía.	El patólogo en la sección de citopreparación cuando se recibe la muestra.	El responsable en la consulta de ginecología.	Se centrifuga la muestra y se observa el material en suspensión.	C	La realización de las extensiones para citopatología ginecológica (doble toma) las realiza, en la consulta ginecológica, el propio especialista o el personal de enfermaría.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62350	026-24034-MUESTRASCITO-210308	La punción con aguja fina nos permite:	Estudiar diferentes territorios orgánicos.	Estudiar mediante el empleo dirigido a través de la visión ecográfica o mediante tomografía computerizada, zonas más profundas del organismo.	Obtener células descamadas de lesiones corporales, neoplásicas o no, mediante extracción por aspirado del material del que está constituido la lesión.	Todas las respuestas son correctas.	D	La Citopatología pasó de la investigación en el laboratorio a la práctica clínica, inicialmente ginecológica, ampliando su utilidad al diagnóstico de las neoplasias del cuello uterino y sus lesiones precursoras, a través de la observación en frotis vaginales de los cambios displásicos que caracterizan a estas neoplasias. Se define como el estudio citológico y diagnóstico de lesiones corporales, neoplásicas o no, mediante extracción por aspirado del material del que está constituido la lesión. 	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA

asdasd	bwefhbwrf	wyfrwyf
	  	 	
	d	iede
	
62351	027-24034-MUESTRASCITO-210308	En la interpretación de una extensión citológica debemos valorar:	El fondo y la disposición de las células.	El tamaño, la forma y la coloración de cada una de las células.	La relación núcleo- citoplasma.	Todas las respuestas son correctas.	D	En la interpretación de una extensión citológica debemos valorar el fondo y la disposición de las células; el tamaño, la forma y la coloración de cada una de las células; la relación núcleo- citoplasma; el número, tamaño, forma y situación del núcleo y el nucléolo 	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62352	028-24034-MUESTRASCITO-210308	Entre el instrumental de un laboratorio de citopatología no se encuentra:	Microscopios.	Estación histológica.	Centrifugadoras.	Batería de tinción.	B	La estación histológica se utiliza para la confección de bloques de parafina por lo que no se utiliza en un laboratorio de citología	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62353	029-24034-MUESTRASCITO-210308	Entre las ventajas del estudio citológico de las muestras cervicales, podemos citar:	Es un método de diagnóstico poco útil en las infecciones cervicovaginales.	Es de capital importancia en el diagnóstico de las lesiones preneoplásicas.	Es un método de bajo coste.	Es un método sencillo.	A	El estudio citológico de las muestras cervicales es un método de diagnóstico útil, sencillo y muy barato. Nos aporta información de la situación hormonal de la paciente, ayuda en el diagnóstico de las infecciones cervicovaginales y es de capital importancia en el diagnóstico de las lesiones preneoplásicas.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62354	030-24034-MUESTRASCITO-210308	Un motivo de rechazo o de muestra insatisfactoria en una citología ginecológica es:	Escasos datos clínicos.	Componente inflamatorio en la extensión.	Falta de identificación de la del paciente en la muestra.	Todas las respuestas son correctas.	C	Es un motivo de rechazo cualquier muestra que llega al Servicio de Anatomía sin identificar. El resto de los casos los podemos considerar muestras satisfactorias con limitaciones. 	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62355	031-24034-MUESTRASCITO-210308	Entre las ventajas de la PAAF está:	(A) Ampliar el estudio de las alteraciones del cuello uterino.	(B) Poder observar frotis vaginales con cambios displásicos.	(C) Poder estudiar diferentes territorios orgánicos.	(A) y (B) son correctas.	C	La ventaja de la PAAF es que nos permite el estudio de lesiones corporales, neoplásicas o no, mediante extracción por aspirado del material del que está constituido la lesión en diferentes territorios orgánicos	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62356	032-24034-MUESTRASCITO-210308	Entre las limitaciones de la citopatología está:	Se pierde la información topográfica de la lesión.	Estudia las alteraciones morfológicas de las células desprendidas libremente de los epitelios de revestimiento.	El diagnóstico negativo siempre indica la no presencia de un tumor maligno.	Todas las respuestas son correctas.	A	Entre las limitaciones de la citopatología están: el diagnóstico se basa en las características de células independientes. Con la citología no poseemos la información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión. La aplicación de técnicas inmunohistoquímicas presenta más dificultades, pues las técnicas están protocolizadas para tejidos fijados en formol y procesados en parafina (FFPE). El diagnóstico negativo no descarta la presencia de un tumor maligno, especialmente si el diagnóstico no demuestra una lesión benigna específica ya sea por un tumor benigno o por un agente infeccioso.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	